accession_id,cluster,strain,collection_date,location,originating_lab,submitting_lab,authors
EPI_ISL_413214,australia,Australia/NSW07/2020,2020-02-29,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_414414,australia,Australia/QLD09/2020,2020-02-29,Oceania / Australia / Queensland / Gold Coast,Pathology Queensland,Public Health Virology Laboratory,"Bixing Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore"
EPI_ISL_417383,australia,Australia/NSW15/2020,2020-03-03,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Rockett R, Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A, Sadsad R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_417386,australia,Australia/NSW21/2020,2020-03-04,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Gray K, Timms V, Gall M, Arnott A, Sadsad R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE, Rockett R, Eden J-S and Lam C for the 2019-nCoV Study Group"
EPI_ISL_417389,australia,Australia/NSW26/2020,2020-03-09,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Arnott A, Sadsad R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE, Rockett R, Eden J-S, Lam C, Gray K, Timms V and Gall M for the 2019-nCoV Study Group"
EPI_ISL_417391,australia,Australia/NSW28/2020,2020-03-08,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE, Rockett R, Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A and Sadsad R for the 2019-nCoV Study Group"
EPI_ISL_417392,australia,Australia/NSW31/2020,2020-03-10,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE, Rockett R, Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A, Sadsad R and Carter I for the 2019-nCoV Study Group"
EPI_ISL_417393,australia,Australia/NSW35/2020,2020-03-08,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE, Rockett R, Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A, Sadsad R, Carter I and Rahman H for the 2019-nCoV Study Group"
EPI_ISL_417398,australia,Australia/NSW40/2020,2020-03-11,Oceania / Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Kok J, Dwyer DE, Rockett R, Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A, Sadsad R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC and Maddocks S for the 2019-nCoV Study Group"
EPI_ISL_403962,china,Nonthaburi/61/2020,2020-01-08,Asia / Thailand / Nonthaburi,Bamrasnaradura Hospital,"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand","Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha"
